species,p_value,mean_control,mean_diseased
Streptobacillus_moniliformis,0.0464220952173477,0.0044035597828780935,0.00038015141778933586
Kingella_kingae,,0.0,0.0
Tannerella_forsythia,0.14046504815835495,0.0038001299291934485,0.003359552983394622
Pigmentiphaga_daeguensis,,0.0,0.0
Clostridium_cylindrosporum,,0.0,0.0
Flavobacterium_ummariense,,0.0,0.0
Prevotella_jejuni,,0.0,0.0
Solobacterium_moorei,0.9698499769931556,0.00905841195218067,0.007821681575067334
Suttonella_ornithocola,,0.0,0.0
Neisseria_mucosa,0.4273553138978077,0.0033265387438161016,0.006244698197215754
Acholeplasma_brassicae,,0.0,0.0
Campylobacter_curvus,0.8711511457711205,1.0039994634060776e-05,1.9254932948755738e-05
Treponema_parvum,0.23113699116473263,5.3961579272725064e-05,1.977082770149206e-05
Fructobacillus_fructosus,,0.0,0.0
Treponema_lecithinolyticum,0.4672752465502792,0.00013443455217637977,2.155999422837361e-05
Haemophilus_parainfluenzae,0.21229383619233155,0.04440000173709546,0.037087461655460736
Klebsiella_oxytoca,,0.0,0.0
Capnocytophaga_leadbetteri,1.0,0.010057800931017146,0.008951887255696222
Aminomonas_aminovorus,,0.0,0.0
Actinomyces_israelii,,0.0,2.033866777555638e-05
Lachnoanaerobaculum_umeaense,0.6775849579524755,0.0047429417484392425,0.0035370382982693937
Serratia_ureilytica,,0.0,0.0
Selenomonas_infelix,0.27303633975118835,0.0013493475523358544,0.0011888462850379185
Anaerococcus_vaginalis,,0.0,0.0
Actinomyces_turicensis,,0.0,3.380000375115149e-06
Bacillus_funiculus,,0.0,0.0
Acidovorax_valerianellae,,0.0,0.0
Acinetobacter_tjernbergiae,,0.0,0.0
Pediococcus_pentosaceus,,0.0,0.0
Mycoplasma_arginini,,9.359997008445739e-06,0.0
Parvimonas_micra,0.12122450301291662,0.01608556721028833,0.008985461016607178
Vagococcus_lutrae,,0.0,0.0
Orientia_tsutsugamushi,0.27285596848712856,0.00019106587309484499,0.00019892360299583967
Clostridium_symbiosum,,0.0,0.0
Pasteurella_bettyae,,0.0,0.0
Naumannella_halotolerans,1.0,5.380003142165006e-06,6.760000750230298e-06
Enterobacter_mori,,0.0,0.0
Leptotrichia_amnionii,,0.0,0.0
Campylobacter_gracilis,0.9698499769931556,0.0009223842933554442,0.0012330980995687115
Capnocytophaga_gingivalis,0.3447042220069576,0.007600897271375419,0.0038348146542669485
Xanthomonas_oryzae,,0.0,0.0
Neisseria_meningitidis,0.3846730627355087,0.01984710981146913,0.001646938274454879
Murdochiella_asaccharolytica,0.5842485531772132,1.3540003996177644e-05,6.760000750230298e-06
Lactococcus_raffinolactis,,0.0,0.0
Paracoccus_chinensis,,0.0,0.0
Weissella_cibaria,,0.0,0.0
Lachnoanaerobaculum_saburreum,0.570605503511469,0.0004292193884947567,0.00031073659497309156
Bacillus_weihenstephanensis,,0.0,0.0
Deinococcus_radiodurans,,0.0,4.690003099857552e-06
Corynebacterium_propinquum,,0.0,0.0
Prevotella_shahii,0.7614975975683588,0.0012461411718284817,0.001303062352947111
Prevotella_saccharolytica,0.27303633975118835,0.000337960343411049,0.00037194170094245543
Propionicicella_superfundia,,0.0,0.0
Alkaliphilus_crotonatoxidans,,2.2899976704790305e-06,0.0
Moraxella_nonliquefaciens,,0.0,0.0
